"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_Name","CusoName","City","IsWhollyOwned","Investment","Loan","CashOutlay","Check_cur_serv","Cler_prof_mgt_serv","Bus_ln_orig","Cons_mtg_orig","Elect_trans_serv","Fin_con_serv","FA_serv","Ins_br_ag","Leasing","Ln_supp_serv","RR_sec_DR_serv","Ins_br_serv","Shr_branch_ops","St_Ln_orig","Trav_ag_serv","Trusts","RE_br_serv","CUSOinv_nonCUSO","CC_ln_orig","pay_proc_serv","Other","OtherCusoServiceType","DateCreated","DateUpdated","InvestmentAccountingTypeName","StateCode","EIN"
22,12/31/2013 0:00:00,17,"WATERBURY CONNECTICUT TEACHER","Mortgage Market CUSO","Houghton",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"First Mortgage Origination",8/27/2009 22:11:00,1/21/2014 11:12:00,"","MI","753103689"
28,12/31/2013 0:00:00,21,"CENTRIS","Centris Services Group","Omaha",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 16:42:00,"Consolidation","NE","470657630"
28,12/31/2013 0:00:00,21,"CENTRIS","NE CU ATM Services, LLC","Lincoln",0,9000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ATM",8/27/2009 22:11:00,1/22/2014 16:42:00,"Cost Method","NE","300330004"
28,12/31/2013 0:00:00,21,"CENTRIS","One United Mortgage Group","Omaha",1,372401,0,406000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 16:42:00,"Consolidation","NE","462192758"
42,12/31/2013 0:00:00,29,"FD COMMUNITY","Waterburyfirefighters Credit Union Service Organization, Inc","Waterbury",1,407582,0,407582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Property Management Service",8/27/2009 22:11:00,1/14/2014 13:29:00,"Consolidation","CT","060852893"
48,12/31/2013 0:00:00,31,"MISSISSIPPI POSTAL EMPLOYEES","CU24","Tallahassee",0,3563,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ATM Surchrge Free Network",8/27/2009 22:11:00,1/17/2014 14:42:00,"Cost Method","FL","593486863"
51,12/31/2013 0:00:00,32,"STATE EMPLOYEES","SEFCU Services LLC","Albany",1,13816093,22000000,5000000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 13:42:00,"Consolidation","NY","010940996"
51,12/31/2013 0:00:00,32,"STATE EMPLOYEES","SEFCU Insurance Agency","Albany",1,5510898,0,5000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 13:42:00,"Consolidation","NY","141817133"
51,12/31/2013 0:00:00,32,"STATE EMPLOYEES","PSCU Financial Services","St Petersburg",0,464970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",8/27/2009 22:11:00,1/23/2014 13:42:00,"Cost Method","FL","591743434"
53,12/31/2013 0:00:00,33,"MOTION","State Financial Network, LLC","Broomall",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/30/2014 9:12:00,"","PA","800873092"
53,12/31/2013 0:00:00,33,"MOTION","Cumanet","Basking Ridge",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/30/2014 9:12:00,"","NJ","223646493"
60,12/31/2013 0:00:00,35,"SIOUX FALLS","Dakota Financial Services","Aberdeen",0,5000,0,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/9/2014 9:15:00,"Cost Method","SD","460456191"
77,12/31/2013 0:00:00,41,"SERVICE FIRST","Community Business Lenders","Des Moines",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/6/2014 15:13:00,"","IA","342033742"
77,12/31/2013 0:00:00,41,"SERVICE FIRST","Dakota Financial Services, Inc.","Aberdeen",0,5000,0,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/6/2014 15:13:00,"Cost Method","SD","460456191"
77,12/31/2013 0:00:00,41,"SERVICE FIRST","Member Business Solutions","Rapid City",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/6/2014 15:13:00,"","SD","274536796"
77,12/31/2013 0:00:00,41,"SERVICE FIRST","ProDraft Services Inc.","Bismarck",0,45817,0,45817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/6/2014 15:13:00,"","ND","264639646"
77,12/31/2013 0:00:00,41,"SERVICE FIRST","TMG Financial Services","Des Moines",0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"",8/27/2009 22:11:00,1/6/2014 15:13:00,"","IA","743203348"
78,12/31/2013 0:00:00,42,"BAY RIDGE","Share One Inc.","Memphis",0,25000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"data processing",8/27/2009 22:11:00,1/24/2014 16:22:00,"Cost Method","TN","621588402"
79,12/31/2013 0:00:00,43,"CAMPUS","CUBG","Portland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 10:34:00,"","OR","562284235"
79,12/31/2013 0:00:00,43,"CAMPUS","CUSC","Baton Rouge",0,150000,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 10:34:00,"Cost Method","LA","900209249"
80,12/31/2013 0:00:00,44,"AMERICAN EAGLE","American Eagle Financial Services, LLC","East Hartford",1,479605,0,30000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/28/2014 9:43:00,"Consolidation","CT","061552551"
80,12/31/2013 0:00:00,44,"AMERICAN EAGLE","PSCU Financial Services","Tampa",0,1245868,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/28/2014 9:43:00,"Cost Method","FL","591743434"
91,12/31/2013 0:00:00,50,"SHELL COMMUNITY","CU America","Lombard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,8/27/2009 22:11:00,1/22/2014 16:45:00,"","IL","363920095"
91,12/31/2013 0:00:00,50,"SHELL COMMUNITY","CU Business Group","Portland",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/22/2014 16:45:00,"","OR","562284235"
91,12/31/2013 0:00:00,50,"SHELL COMMUNITY","CU Mortgage","New Brighton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,8/27/2009 22:11:00,1/22/2014 16:45:00,"","MN","411592297"
107,12/31/2013 0:00:00,57,"KEMBA ROANOKE","Credit Union Mortgage Association, Inc","Fairfax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",8/27/2009 22:11:00,1/24/2014 12:34:00,"","VA","541094297"
118,12/31/2013 0:00:00,61,"THE PARTNERSHIP","CUMA","Fairfax",0,6000,0,6000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 16:09:00,"","VA","541094297"
118,12/31/2013 0:00:00,61,"THE PARTNERSHIP","Ongoing Operations","Hagerstown",0,150000,0,150000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 16:09:00,"","MD","300371143"
118,12/31/2013 0:00:00,61,"THE PARTNERSHIP","CU24","Tallahassee",0,4954,0,4614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 16:09:00,"","FL","593486863"
118,12/31/2013 0:00:00,61,"THE PARTNERSHIP","CU Cooperative Systems Inc","Rancho Cucamonga",0,76293,0,76293,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 16:09:00,"","CA","953732627"
118,12/31/2013 0:00:00,61,"THE PARTNERSHIP","PSCU","Saint Petersburg",0,53812,0,53812,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/27/2014 16:09:00,"","FL","591743434"
120,12/31/2013 0:00:00,63,"COUNTY EDUCATORS","PSCU","Tampa",0,19169,0,10600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 10:24:00,"Equity Method","FL","591743434"
120,12/31/2013 0:00:00,63,"COUNTY EDUCATORS","Symbionce Financial Solutions, LLC","East Hanover",0,1521031,0,600000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 10:24:00,"Equity Method","NJ","264512877"
138,12/31/2013 0:00:00,72,"VIGO COUNTY","Credit Union Centers of Indiana, LLC","Indianapolis",0,325,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 16:39:00,"Cost Method","IN","352107899"
150,12/31/2013 0:00:00,77,"FEDCHOICE","Credit Union Auto Loan Network, LLC","Linthicum",0,23600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:58:00,"","MD","522043320"
150,12/31/2013 0:00:00,77,"FEDCHOICE","CUMA","Fairfax",0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:58:00,"","VA","541094297"
150,12/31/2013 0:00:00,77,"FEDCHOICE","CO-OP Financial Service","Duluth",0,20100,0,20100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:58:00,"Cost Method","GA","953732627"
150,12/31/2013 0:00:00,77,"FEDCHOICE","FedChoice CUSO, LLC","Lanham",1,203001,0,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:58:00,"Consolidation","MD","200657580"
151,12/31/2013 0:00:00,78,"JUSTICE","CO-OP Financial Services","Pomona",0,10248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 14:03:00,"Cost Method","CA","953732627"
151,12/31/2013 0:00:00,78,"JUSTICE","CU Realty","Herndon",0,26931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 14:03:00,"Cost Method","VA","201213534"
151,12/31/2013 0:00:00,78,"JUSTICE","PSCU","St Petersburg",0,719334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/22/2014 14:03:00,"Cost Method","FL","591743434"
159,12/31/2013 0:00:00,83,"THREE RIVERS","Members Trust","Tampa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","FL","470924028"
159,12/31/2013 0:00:00,83,"THREE RIVERS","CU Student Choice Partners, LLC","Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","DC","383777896"
159,12/31/2013 0:00:00,83,"THREE RIVERS","myCUmortgage","Fairborn",0,0,2000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","OH","310278870"
159,12/31/2013 0:00:00,83,"THREE RIVERS","CUSO Financial Services, LP","San Diego",0,300000,0,300000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","CA","330731851"
159,12/31/2013 0:00:00,83,"THREE RIVERS","Credit Union Centers of Indiana, LLC","Indianapolis",0,7368,0,11991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","IN","352107899"
159,12/31/2013 0:00:00,83,"THREE RIVERS","Credit Union 24, Inc.","Tallahassee",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","FL","593486863"
159,12/31/2013 0:00:00,83,"THREE RIVERS","Alaska USA Trust Company","Anchorage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Investment safekeeping",8/27/2009 22:11:00,1/16/2014 9:54:00,"","AK","911775122"
159,12/31/2013 0:00:00,83,"THREE RIVERS","PSCU Financial Services","Tampa",0,508289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","FL","591743434"
159,12/31/2013 0:00:00,83,"THREE RIVERS","CU Members Mortgage","Greenwood Village",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 9:54:00,"","CO","751103106"
162,12/31/2013 0:00:00,85,"TREASURY DEPARTMENT","Card Services for Credit Unions","Clearwater",0,92899,0,92899,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 16:47:00,"","FL","592941216"
162,12/31/2013 0:00:00,85,"TREASURY DEPARTMENT","COOP Network","Rancho Cucamonga",0,43112,0,43112,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 16:47:00,"","CA","953732627"
162,12/31/2013 0:00:00,85,"TREASURY DEPARTMENT","Credit Union 24","Tallahassee",0,5092,0,5092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 16:47:00,"","FL","593486863"
162,12/31/2013 0:00:00,85,"TREASURY DEPARTMENT","CUMA","Fairfax",0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 16:47:00,"","VA","541094297"
162,12/31/2013 0:00:00,85,"TREASURY DEPARTMENT","TDFCU Financial Services","Washington",1,15645,0,15645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Provide investment products and services (inactive)",8/27/2009 22:11:00,1/23/2014 16:47:00,"Consolidation","DC","010583812"
167,12/31/2013 0:00:00,87,"DAKOTALAND","CU Mortgage Direct, LLC","Sioux Falls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,8/27/2009 22:11:00,1/16/2014 16:51:00,"","SD","680572881"
167,12/31/2013 0:00:00,87,"DAKOTALAND","Primary Financial","Dublin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Investment Brokerage Services",8/27/2009 22:11:00,1/16/2014 16:51:00,"","OH","311682720"
167,12/31/2013 0:00:00,87,"DAKOTALAND","Dakotaland Community Insurance LLC","Huron",1,192560,1108990,300000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/16/2014 16:51:00,"Consolidation","SD","454038238"
167,12/31/2013 0:00:00,87,"DAKOTALAND","Balance Sheet Solutions, LLC","Warrenville",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/16/2014 16:51:00,"","IL","510428332"
167,12/31/2013 0:00:00,87,"DAKOTALAND","Member Student Lending, LLC","Media",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/16/2014 16:51:00,"","PA","272182327"
168,12/31/2013 0:00:00,88,"NORTHERN INDIANA","CU Centers of Indiana","Indianapolis",0,94636,0,94636,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/21/2014 17:05:00,"Cost Method","IN","352107899"
168,12/31/2013 0:00:00,88,"NORTHERN INDIANA","CU Mortgage Services","Merrillville",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/21/2014 17:05:00,"","IN","050546661"
174,12/31/2013 0:00:00,91,"LOUISIANA","Business Alliance Financial Services, LLC","Monroe",0,100000,0,100000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 20:56:00,"Cost Method","LA","270846943"
174,12/31/2013 0:00:00,91,"LOUISIANA","Credit Union Cooperative Branching, LLC","Harahan",0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 20:56:00,"Cost Method","LA","900209549"
174,12/31/2013 0:00:00,91,"LOUISIANA","CUSOURCE, LLC dba Southwest Corporate Investment Services","Plano",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 20:56:00,"","TX","752755118"
174,12/31/2013 0:00:00,91,"LOUISIANA","Grade 13 LLC","Laplace",1,25000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Financial Education using ""real world"" simulation - developed software",8/27/2009 22:11:00,1/23/2014 20:56:00,"Consolidation","LA","263933413"
174,12/31/2013 0:00:00,91,"LOUISIANA","Primary Financial LLC","Dublin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/23/2014 20:56:00,"","OH","311682720"
176,12/31/2013 0:00:00,92,"SOUTH FLORIDA EDUCATIONAL","Quorum Insurance","Tampa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/13/2014 10:48:00,"","FL","593595125"
176,12/31/2013 0:00:00,92,"SOUTH FLORIDA EDUCATIONAL","Wescom Resources Group, LLC","Pasadena",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/13/2014 10:48:00,"","CA","431966875"
176,12/31/2013 0:00:00,92,"SOUTH FLORIDA EDUCATIONAL","CO-OP Financial Services","Rancho Cucamonga",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/13/2014 10:48:00,"","CA","953732627"
176,12/31/2013 0:00:00,92,"SOUTH FLORIDA EDUCATIONAL","CUNA Mutual","Madison",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/13/2014 10:48:00,"","WI","390230590"
176,12/31/2013 0:00:00,92,"SOUTH FLORIDA EDUCATIONAL","Member's Trust","Tampa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,8/27/2009 22:11:00,1/13/2014 10:48:00,"","FL","470924028"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","CUSOURCE, LLC dba Catalyst Strategic Solutions","Plano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Advisory and Consulting Activies",8/27/2009 22:11:00,1/29/2014 12:17:00,"","TX","752755118"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","Member Auto Sales LLC","Houston",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Repo Liquidation Service",8/27/2009 22:11:00,1/29/2014 12:17:00,"Equity Method","TX","205630033"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","CU Companies of Texas dba Member Home Loan LLC","Houston",0,531205,0,531205,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/29/2014 12:17:00,"Equity Method","TX","364569955"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","CU Business Group, LLC","Portland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/29/2014 12:17:00,"","OR","562284235"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","CU Alliance LLC","Houston",0,364646,0,364646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Collaterial Liquidation, Indirect Lending",8/27/2009 22:11:00,1/29/2014 12:17:00,"Equity Method","TX","421570141"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","Credit Union Acceptance Company LLC","Houston",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/29/2014 12:17:00,"Equity Method","TX","421570145"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","Co-Op Financial Services","Rancho Cucamonga",0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Credit and Debit Card Processing",8/27/2009 22:11:00,1/29/2014 12:17:00,"Equity Method","CA","953732627"
177,12/31/2013 0:00:00,93,"PEOPLE'S TRUST","Signal Hill Financial Resources","Houston",1,86243,0,500000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/29/2014 12:17:00,"Consolidation","TX","320038917"
187,12/31/2013 0:00:00,100,"FLORIDA A & M UNIVERSITY","United Solutions Company","Tallahassee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Core Processing to include data processing, ATM/Debit Card, credit reporting pass through",8/27/2009 22:11:00,1/30/2014 14:15:00,"","FL","592285914"
195,12/31/2013 0:00:00,104,"NORTHWEST ARKANSAS","ARCUSO","Little Rock",0,45232,0,45232,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/14/2014 16:09:00,"Cost Method","AR","260330493"
196,12/31/2013 0:00:00,105,"GTE","Home Loan Alliance","Tampa",0,1329586,0,3000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2014 13:58:00,"Consolidation","FL","205395927"
196,12/31/2013 0:00:00,105,"GTE","Florida CU Shared Services","Tallahassee",0,25000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2014 13:58:00,"Cost Method","FL","593167039"
