"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
776,12/31/2013 0:00:00,381,"ERIE TIMES",12,1/15/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
776,12/31/2013 0:00:00,381,"ERIE TIMES",3401,8/23/2013 0:00:00,5000,"Association of Credit Union Leagues","","Program Grant"
838,12/31/2013 0:00:00,413,"APS",594,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
841,12/31/2013 0:00:00,416,"ALLEGHENY CENTRAL",2018,8/15/2012 0:00:00,13877,"NCUA Technical Assistance Program","","Not Collected"
841,12/31/2013 0:00:00,416,"ALLEGHENY CENTRAL",2019,5/1/2012 0:00:00,3000,"Association of Credit Union Leagues","","Not Collected"
900,12/31/2013 0:00:00,451,"AMBRIDGE AREA",13,10/15/2008 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
960,12/31/2013 0:00:00,482,"PACIFIC CREST",494,11/1/2006 0:00:00,3500,"NCUA Technical Assistance Program",,"Not Collected"
960,12/31/2013 0:00:00,482,"PACIFIC CREST",495,6/30/2011 0:00:00,1344,"Association of Credit Union Leagues",,"Not Collected"
960,12/31/2013 0:00:00,482,"PACIFIC CREST",3285,5/30/2013 0:00:00,4000,"Other","NCUA","Not Collected"
960,12/31/2013 0:00:00,482,"PACIFIC CREST",3455,9/13/2013 0:00:00,2696,"Other","Office of Small Credit Union Initiatives","Program Grant"
967,12/31/2013 0:00:00,486,"GOLD COAST",3322,5/6/2013 0:00:00,2850,"Other","Office of Small Credit Union Initiatives","Program Grant"
986,12/31/2013 0:00:00,494,"URE",595,1/12/2010 0:00:00,3000,"Other","PA Credit Union Foundation  (Web Site Grant)","Not Collected"
1111,12/31/2013 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",19,1/1/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
1111,12/31/2013 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",3092,11/15/2012 0:00:00,650,"Association of Credit Union Leagues","","Not Collected"
1111,12/31/2013 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",3176,1/23/2013 0:00:00,5000,"Association of Credit Union Leagues","","Not Collected"
1129,12/31/2013 0:00:00,563,"MOPAC EMPLOYEES",8,2/1/2013 0:00:00,1000,"Association of Credit Union Leagues","","Not Collected"
1129,12/31/2013 0:00:00,563,"MOPAC EMPLOYEES",9,11/15/2012 0:00:00,1000,"Other","TCUL","Not Collected"
1250,12/31/2013 0:00:00,621,"HAMPTON VA",3473,8/27/2013 0:00:00,2900,"Other","NCUA OSCUI","Program Grant"
1261,12/31/2013 0:00:00,625,"LANGLEY",21,6/25/2009 0:00:00,57686,"Enterprise Grant Program",,"Not Collected"
1261,12/31/2013 0:00:00,625,"LANGLEY",987,6/30/2012 0:00:00,100000,"Enterprise Grant Program","","Not Collected"
1479,12/31/2013 0:00:00,725,"ARKANSAS VALLEY",496,12/9/2011 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
1479,12/31/2013 0:00:00,725,"ARKANSAS VALLEY",3399,8/27/2013 0:00:00,2395,"NCUA Technical Assistance Program","","Program Grant"
1524,12/31/2013 0:00:00,744,"KILGORE SHELL EMPLOYEES",10,5/25/2012 0:00:00,2300,"Association of Credit Union Leagues","","Not Collected"
1524,12/31/2013 0:00:00,744,"KILGORE SHELL EMPLOYEES",3195,2/21/2013 0:00:00,2000,"Association of Credit Union Leagues","","Not Collected"
1558,12/31/2013 0:00:00,761,"KERR COUNTY",11,9/16/2010 0:00:00,750000,"Community Development Financial Institutions Fund",,"Not Collected"
1558,12/31/2013 0:00:00,761,"KERR COUNTY",2758,9/15/2012 0:00:00,1084087,"Community Development Financial Institutions Fund","","Not Collected"
1607,12/31/2013 0:00:00,784,"BIG ISLAND",497,1/13/2012 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
1607,12/31/2013 0:00:00,784,"BIG ISLAND",3583,8/27/2013 0:00:00,8000,"NCUA Technical Assistance Program","","Program Grant"
1646,12/31/2013 0:00:00,805,"CLAIRTON WORKS",24,4/21/2011 0:00:00,719,"Other","PA Credit Union Foundation","Not Collected"
1785,12/31/2013 0:00:00,859,"HAWAII SCHOOLS",506,5/24/2011 0:00:00,5747,"NCUA Technical Assistance Program",,"Not Collected"
1785,12/31/2013 0:00:00,859,"HAWAII SCHOOLS",893,5/9/2012 0:00:00,5314,"NCUA Technical Assistance Program","","Not Collected"
1810,12/31/2013 0:00:00,868,"ROME",20,8/1/2009 0:00:00,2000,"Other","New York Credit Union Foundation","Not Collected"
1810,12/31/2013 0:00:00,868,"ROME",3253,6/30/2013 0:00:00,442,"New York State Credit Union Foundation","","Not Collected"
1810,12/31/2013 0:00:00,868,"ROME",3254,6/14/2013 0:00:00,898,"New York State Credit Union Foundation","","Not Collected"
1817,12/31/2013 0:00:00,873,"MAUI TEACHERS",507,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
1879,12/31/2013 0:00:00,902,"KINGSVILLE COMMUNITY",3088,10/2/2012 0:00:00,483806,"Community Development Financial Institutions Fund","","Program Grant"
1880,12/31/2013 0:00:00,903,"HONOLULU FIRE DEPARTMENT",900,8/23/2011 0:00:00,2475,"NCUA Technical Assistance Program","","Not Collected"
1961,12/31/2013 0:00:00,936,"PEARL HARBOR",983,6/15/2012 0:00:00,1500,"Other","Armed Forces Financial Network","Not Collected"
1982,12/31/2013 0:00:00,945,"CENTRIC",15,11/30/2011 0:00:00,54998,"Other","LA Workforce Commission IWTF","Not Collected"
1987,12/31/2013 0:00:00,946,"EWA",512,11/28/2008 0:00:00,7000,"NCUA Technical Assistance Program",,"Not Collected"
2046,12/31/2013 0:00:00,969,"PAMPA TEACHERS",866,3/30/2009 0:00:00,100000,"Association of Credit Union Leagues",,"Not Collected"
2056,12/31/2013 0:00:00,975,"SEWERAGE & WATER BOARD EMPLOYEES",2876,8/15/2012 0:00:00,20000,"Other","The Ofc of Small CU Initiatives - NCUA","Not Collected"
2065,12/31/2013 0:00:00,982,"LOWELL MUNICIPAL EMPLOYEES",3475,8/27/2013 0:00:00,1350,"NCUA Technical Assistance Program","","Program Grant"
2068,12/31/2013 0:00:00,983,"SOUTHERN TEACHERS & PARENTS",17,12/14/2007 0:00:00,29840,"National Credit Union Foundation",,"Not Collected"
2068,12/31/2013 0:00:00,983,"SOUTHERN TEACHERS & PARENTS",18,9/5/2008 0:00:00,13950,"Other","NCUA Office of Small CU Initiatives","Not Collected"
2209,12/31/2013 0:00:00,1042,"BUFFALO METROPOLITAN",3505,8/12/2013 0:00:00,2000,"New York State Credit Union Foundation","","Program Grant"
2211,12/31/2013 0:00:00,1044,"M M EMPLOYEES",513,6/17/2013 0:00:00,2189,"NCUA Technical Assistance Program","","Program Grant"
2237,12/31/2013 0:00:00,1058,"CALCOE",3324,5/29/2013 0:00:00,2550,"Other","NW CU Foundation","Not Collected"
2237,12/31/2013 0:00:00,1058,"CALCOE",3423,8/27/2013 0:00:00,2495,"Other","OSCUI","Program Grant"
2237,12/31/2013 0:00:00,1058,"CALCOE",3424,7/16/2013 0:00:00,2000,"Other","NW CU Foundation","Program Grant"
2263,12/31/2013 0:00:00,1068,"FIRST NRV",3507,5/6/2013 0:00:00,3906,"NCUA Technical Assistance Program","","Program Grant"
2280,12/31/2013 0:00:00,1074,"HAMAKUA COAST COMMUNITY",3389,7/1/2013 0:00:00,7500,"Other","NCUA OSCUI Urgent Needs","Pass Through"
2280,12/31/2013 0:00:00,1074,"HAMAKUA COAST COMMUNITY",3390,7/1/2013 0:00:00,2193,"NCUA Technical Assistance Program","","Pass Through"
2403,12/31/2013 0:00:00,1123,"HAWAII",514,7/30/2010 0:00:00,4834,"NCUA Technical Assistance Program",,"Not Collected"
2403,12/31/2013 0:00:00,1123,"HAWAII",515,7/6/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
2472,12/31/2013 0:00:00,1151,"YELLOWSTONE",516,11/17/2010 0:00:00,2604,"NCUA Technical Assistance Program",,"Not Collected"
2538,12/31/2013 0:00:00,1180,"RTA HAYDEN",3229,4/10/2013 0:00:00,7500,"NCUA Technical Assistance Program","","Program Grant"
2563,12/31/2013 0:00:00,1189,"WEST MAUI COMMUNITY",748,2/27/2009 0:00:00,6793,"NCUA Technical Assistance Program",,"Not Collected"
2566,12/31/2013 0:00:00,1191,"BEVERLY BUS GARAGE",23,9/30/2009 0:00:00,1500,"Association of Credit Union Leagues",,"Not Collected"
2578,12/31/2013 0:00:00,1200,"KEKAHA",518,11/29/2008 0:00:00,6000,"NCUA Technical Assistance Program",,"Not Collected"
2578,12/31/2013 0:00:00,1200,"KEKAHA",519,7/30/2010 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
2583,12/31/2013 0:00:00,1203,"SAINT NICHOLAS",1918,8/15/2012 0:00:00,7750,"NCUA Technical Assistance Program","","Not Collected"
2612,12/31/2013 0:00:00,1217,"BEAVER FALLS PA TEACHERS",2005,8/15/2012 0:00:00,8700,"National Credit Union Foundation","","Not Collected"
2644,12/31/2013 0:00:00,1232,"MAINE FAMILY",22,6/20/2011 0:00:00,5000,"Other","NCUA","Not Collected"
2682,12/31/2013 0:00:00,1248,"C T A S S & U",3569,5/2/2013 0:00:00,2500,"Other","ICU FOUNDATION","Capital- unrestricted donation to equity"
2995,12/31/2013 0:00:00,1379,"ALAMO",3266,5/6/2013 0:00:00,4000,"Other","NCUA","Program Grant"
3025,12/31/2013 0:00:00,1389,"EMPOWER",3616,10/23/2013 0:00:00,217698,"Other","National Grid","Program Grant"
3025,12/31/2013 0:00:00,1389,"EMPOWER",3617,5/13/2013 0:00:00,72724,"Other","NYSERDA","Program Grant"
3064,12/31/2013 0:00:00,1404,"SELECT",2001,8/17/2012 0:00:00,16441,"NCUA Technical Assistance Program","","Not Collected"
3080,12/31/2013 0:00:00,1411,"SAN ANGELO",3454,8/22/2013 0:00:00,2000,"Association of Credit Union Leagues","","Program Grant"
3226,12/31/2013 0:00:00,1473,"ACBA FED CREDIT UNION (3226)",38,8/11/2011 0:00:00,4150,"NCUA Technical Assistance Program",,"Not Collected"
3237,12/31/2013 0:00:00,1478,"COLFAX POWER PLANT EMPLOYEES",3084,7/31/2012 0:00:00,3000,"Association of Credit Union Leagues","","Not Collected"
3285,12/31/2013 0:00:00,1494,"NIAGARA REGIONAL",25,8/26/2009 0:00:00,1750,"New York State Credit Union Foundation",,"Not Collected"
3297,12/31/2013 0:00:00,1498,"PHILADELPHIA MINT",39,3/31/2012 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
3316,12/31/2013 0:00:00,1505,"ALTONIZED COMMUNITY",3382,4/8/2013 0:00:00,500,"Other","Illinois Credit Union Foundation","Program Grant"
3316,12/31/2013 0:00:00,1505,"ALTONIZED COMMUNITY",3579,11/19/2013 0:00:00,2500,"Other","Illinois Credit Union Foundation","Program Grant"
3430,12/31/2013 0:00:00,1559,"C-T WACO",2138,8/15/2012 0:00:00,23145,"Other","OSCUI","Program Grant"
3447,12/31/2013 0:00:00,1569,"ACME",32,5/25/2011 0:00:00,967,"Other","Ohio Credit Union Foundation","Not Collected"
3494,12/31/2013 0:00:00,1590,"GUARDIAN FIRST",30,6/1/2008 0:00:00,5000,"National Credit Union Foundation",,"Not Collected"
3714,12/31/2013 0:00:00,1672,"UNIVERSITY SETTLEMENT",3207,2/19/2013 0:00:00,9560,"NCUA Technical Assistance Program","","Not Collected"
3718,12/31/2013 0:00:00,1673,"TRI-COUNTY",3375,8/27/2013 0:00:00,1545,"NCUA Technical Assistance Program","","Not Collected"
4088,12/31/2013 0:00:00,1828,"STANWOOD AREA",3109,12/13/2012 0:00:00,5000,"Other","PA Credit Union Foundation (MM)","Not Collected"
4088,12/31/2013 0:00:00,1828,"STANWOOD AREA",3441,8/27/2013 0:00:00,329500,"Other","NCUA OSCUI","Program Grant"
4135,12/31/2013 0:00:00,1844,"KEYS",3190,12/31/2012 0:00:00,1500,"Other","ARMED FORCES FINANCIAL NETWORK","Not Collected"
4135,12/31/2013 0:00:00,1844,"KEYS",3406,9/1/2013 0:00:00,1500,"Other","ARMED FORCES FINANCIAL NETWORK","Program Grant"
4170,12/31/2013 0:00:00,1860,"ABYSSINIAN BAPTIST CHURCH",31,7/31/2009 0:00:00,2000,"NCUA Technical Assistance Program",,"Not Collected"
4176,12/31/2013 0:00:00,1863,"BOX BUTTE PUBLIC EMPLOYEES",34,12/22/2010 0:00:00,4500,"NCUA Technical Assistance Program",,"Not Collected"
4182,12/31/2013 0:00:00,1865,"WACOPSE",51,11/18/2004 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Not Collected"
4233,12/31/2013 0:00:00,1884,"CITY CO",3193,1/16/2013 0:00:00,1000,"Other","PA Credit Union Foundation","Not Collected"
4401,12/31/2013 0:00:00,1947,"SOUTHWEST MONTANA COMMUNITY",529,7/6/2009 0:00:00,3703,"NCUA Technical Assistance Program",,"Not Collected"
4401,12/31/2013 0:00:00,1947,"SOUTHWEST MONTANA COMMUNITY",3175,1/9/2013 0:00:00,478,"Other","OSCIU","Not Collected"
4401,12/31/2013 0:00:00,1947,"SOUTHWEST MONTANA COMMUNITY",3481,7/1/2013 0:00:00,7500,"Other","NCUA Office of Small CU Incentives","Program Grant"
4425,12/31/2013 0:00:00,1953,"GEORGIA COASTAL",3666,12/31/2013 0:00:00,15000,"Other","Georgia Center for Homeownership","Capital- unrestricted donation to equity"
4425,12/31/2013 0:00:00,1953,"GEORGIA COASTAL",3667,9/30/2013 0:00:00,5000,"Other","Georgia Center for Homeownership","Capital- unrestricted donation to equity"
4446,12/31/2013 0:00:00,1962,"1ST CHOICE COMMUNITY",3159,11/1/2012 0:00:00,5000,"Other","PCUA Foundation","Program Grant"
4480,12/31/2013 0:00:00,1973,"PALISADES",3489,7/30/2013 0:00:00,2000,"New York State Credit Union Foundation","","Program Grant"
4487,12/31/2013 0:00:00,1976,"SOUTH BEND TRANSIT",3599,8/27/2013 0:00:00,2985,"Other","Office of Small Credit Union Initiatives","Program Grant"
4847,12/31/2013 0:00:00,2100,"ST. ANTHONY OF NEW BEDFORD",33,7/22/2009 0:00:00,1950,"NCUA Technical Assistance Program",,"Not Collected"
4884,12/31/2013 0:00:00,2114,"ST. JOSEPHS CANTON PARISH",3358,5/1/2013 0:00:00,4000,"Other","National Credit Union Administration ","Not Collected"
4966,12/31/2013 0:00:00,2143,"UNITY CATHOLIC",52,2/1/2009 0:00:00,4708,"Association of Credit Union Leagues",,"Not Collected"
4966,12/31/2013 0:00:00,2143,"UNITY CATHOLIC",3223,4/13/2013 0:00:00,994,"Association of Credit Union Leagues","","Program Grant"
4966,12/31/2013 0:00:00,2143,"UNITY CATHOLIC",3497,7/1/2013 0:00:00,750,"Association of Credit Union Leagues","","Program Grant"
5022,12/31/2013 0:00:00,2162,"ST. MARKS",35,4/11/2005 0:00:00,4646,"NCUA Technical Assistance Program",,"Not Collected"
5022,12/31/2013 0:00:00,2162,"ST. MARKS",36,7/6/2007 0:00:00,970,"NCUA Technical Assistance Program",,"Not Collected"
5022,12/31/2013 0:00:00,2162,"ST. MARKS",2323,9/15/2012 0:00:00,5690,"NCUA Technical Assistance Program","","Not Collected"
5144,12/31/2013 0:00:00,2202,"LEWISTON MUNICIPAL",37,8/26/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
5272,12/31/2013 0:00:00,2260,"CHATHAM EBEN CO OP",40,4/2/2013 0:00:00,900,"Association of Credit Union Leagues","","Program Grant"
5272,12/31/2013 0:00:00,2260,"CHATHAM EBEN CO OP",3422,8/5/2013 0:00:00,1300,"Association of Credit Union Leagues","","Program Grant"
5366,12/31/2013 0:00:00,2303,"DESERT VALLEYS",3269,5/6/2013 0:00:00,2816,"NCUA Technical Assistance Program","","Program Grant"
5450,12/31/2013 0:00:00,2349,"HOMEPORT",48,6/1/2010 0:00:00,2000,"Association of Credit Union Leagues","","Program Grant"
5450,12/31/2013 0:00:00,2349,"HOMEPORT",49,6/1/2010 0:00:00,15000,"Community Development Financial Institutions Fund","","Program Grant"
5469,12/31/2013 0:00:00,2362,"BROOKS COMMUNITY",3096,8/29/2012 0:00:00,7500,"Other","Office of Small Credit Union Initiatives Grant Program","Not Collected"
5487,12/31/2013 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",531,6/20/2008 0:00:00,4300,"NCUA Technical Assistance Program",,"Not Collected"
5536,12/31/2013 0:00:00,2399,"NAVY FEDERAL CREDIT UNION",3513,7/31/2013 0:00:00,1250000,"Other","University of West Florida, Office of Economic Development & Engagement (OEDE)","Program Grant"
5536,12/31/2013 0:00:00,2399,"NAVY FEDERAL CREDIT UNION",3514,7/10/2013 0:00:00,500000,"Other","County of Frederick, Virginia, Virginia Economic Development Partnership Authority","Program Grant"
5536,12/31/2013 0:00:00,2399,"NAVY FEDERAL CREDIT UNION",3515,6/28/2013 0:00:00,4750000,"Other","State of Florida, Department of Economic Opportunity, Division of Strategic Business Development (DSBD)","Program Grant"
5536,12/31/2013 0:00:00,2399,"NAVY FEDERAL CREDIT UNION",3516,3/25/2013 0:00:00,225000,"Other","Virginia Department of Business Assistance","Program Grant"
5555,12/31/2013 0:00:00,2414,"WACONIZED",3665,7/10/2013 0:00:00,2000,"Association of Credit Union Leagues","","Program Grant"
5613,12/31/2013 0:00:00,2440,"PENACOL",68,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
5613,12/31/2013 0:00:00,2440,"PENACOL",69,8/12/2010 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",749,6/14/2010 0:00:00,1000,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",750,6/18/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",751,8/3/2010 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",752,9/10/2010 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",753,6/23/2011 0:00:00,3200,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",754,6/29/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",755,8/23/2011 0:00:00,6389,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",756,9/2/2011 0:00:00,1600,"NCUA Technical Assistance Program",,"Not Collected"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",3549,8/27/2013 0:00:00,1750,"NCUA Technical Assistance Program","","Program Grant"
5648,12/31/2013 0:00:00,2461,"GULF COAST EDUCATORS",3444,2/6/2013 0:00:00,300,"Other","Texas Credit Union Foundation","Program Grant"
5652,12/31/2013 0:00:00,2463,"CASCADE COMMUNITY",532,5/28/2010 0:00:00,1300,"NCUA Technical Assistance Program","","Program Grant"
5652,12/31/2013 0:00:00,2463,"CASCADE COMMUNITY",533,8/25/2010 0:00:00,3667,"NCUA Technical Assistance Program","","Program Grant"
5652,12/31/2013 0:00:00,2463,"CASCADE COMMUNITY",534,10/15/2010 0:00:00,8500,"NCUA Technical Assistance Program","","Program Grant"
5652,12/31/2013 0:00:00,2463,"CASCADE COMMUNITY",535,6/2/2011 0:00:00,1000,"NCUA Technical Assistance Program","","Program Grant"
5652,12/31/2013 0:00:00,2463,"CASCADE COMMUNITY",536,8/2/2011 0:00:00,3000,"NCUA Technical Assistance Program","","Program Grant"
5652,12/31/2013 0:00:00,2463,"CASCADE COMMUNITY",1846,8/15/2012 0:00:00,25000,"NCUA Technical Assistance Program","","Program Grant"
5839,12/31/2013 0:00:00,2555,"SOUTHEAST LOUISIANA VETERANS HEALTH",3442,9/16/2013 0:00:00,12000,"National Credit Union Foundation","","Program Grant"
5951,12/31/2013 0:00:00,2616,"LAKE ERIE COMMUNITY",604,4/17/2008 0:00:00,3000,"Other","PA CREDIT UNION FOUNDATION","Not Collected"
5951,12/31/2013 0:00:00,2616,"LAKE ERIE COMMUNITY",3125,8/31/2012 0:00:00,5000,"Other","PA CREDIT UNION FOUNDATION","Not Collected"
6061,12/31/2013 0:00:00,2673,"NORTH HOLLYWOOD",72,9/30/2010 0:00:00,2150,"Other","Shaprio Group","Not Collected"
6062,12/31/2013 0:00:00,2674,"BEACON",53,12/2/2010 0:00:00,6850,"Association of Credit Union Leagues",,"Not Collected"
6062,12/31/2013 0:00:00,2674,"BEACON",54,3/10/2011 0:00:00,250,"Other","Texas Credit Union Foundation","Not Collected"
6062,12/31/2013 0:00:00,2674,"BEACON",55,6/6/2011 0:00:00,425,"Other","Texas Credit Union Foundation","Not Collected"
6062,12/31/2013 0:00:00,2674,"BEACON",3246,1/17/2013 0:00:00,421,"Other","Texas Credit Union Foundation","Not Collected"
6062,12/31/2013 0:00:00,2674,"BEACON",3247,1/3/2013 0:00:00,4807,"Other","Texas Crediu Union Foundation","Not Collected"
6062,12/31/2013 0:00:00,2674,"BEACON",3477,6/1/2013 0:00:00,1200,"Other","Texas Credit Union Foundation","Program Grant"
6070,12/31/2013 0:00:00,2680,"TRI STATE RAIL",73,1/30/2009 0:00:00,3000,"Other","Pennsylvanina Credit Union Foundation","Not Collected"
6089,12/31/2013 0:00:00,2693,"CONSOLIDATED-HUB CO",56,11/15/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
6109,12/31/2013 0:00:00,2702,"CARVER BRANCH",57,12/16/2010 0:00:00,3000,"Community Development Financial Institutions Fund",,"Not Collected"
6144,12/31/2013 0:00:00,2726,"RED LAKE CO OP",58,7/30/2010 0:00:00,2626,"National Credit Union Foundation",,"Not Collected"
6144,12/31/2013 0:00:00,2726,"RED LAKE CO OP",2021,8/15/2012 0:00:00,3440,"National Credit Union Foundation","","Not Collected"
6187,12/31/2013 0:00:00,2752,"MEADVILLE AREA",77,4/4/2011 0:00:00,10000,"Other","PACUL - In school branching","Not Collected"
6187,12/31/2013 0:00:00,2752,"MEADVILLE AREA",2578,9/1/2012 0:00:00,10000,"Association of Credit Union Leagues","","Not Collected"
6204,12/31/2013 0:00:00,2762,"RIVER BEND",70,8/18/2010 0:00:00,4458,"Other","Office of Small Credit Union Initiatives","Not Collected"
6277,12/31/2013 0:00:00,2803,"PHB EMPLOYEES",78,1/4/2009 0:00:00,3000,"Other","PA Credit Union Foundation","Not Collected"
6277,12/31/2013 0:00:00,2803,"PHB EMPLOYEES",79,3/31/2011 0:00:00,800,"Other","PA Credit Union Foundation","Not Collected"
6277,12/31/2013 0:00:00,2803,"PHB EMPLOYEES",3255,5/6/2013 0:00:00,3600,"Other","OSCUI","Not Collected"
6289,12/31/2013 0:00:00,2809,"VA REGIONAL OFFICE",66,7/1/2011 0:00:00,1000,"Association of Credit Union Leagues",,"Not Collected"
6289,12/31/2013 0:00:00,2809,"VA REGIONAL OFFICE",896,2/22/2012 0:00:00,1250,"Association of Credit Union Leagues","","Not Collected"
6289,12/31/2013 0:00:00,2809,"VA REGIONAL OFFICE",897,2/2/2012 0:00:00,1500,"Association of Credit Union Leagues","","Not Collected"
6289,12/31/2013 0:00:00,2809,"VA REGIONAL OFFICE",1929,8/15/2012 0:00:00,25000,"NCUA Technical Assistance Program","","Not Collected"
